l_english:
 Aban_greek: "Ámpan "
 Abanid_greek: "Ámpantós "
 Abbas_greek: "Ampás "
 Abbasid_greek: "Ampá"
 Abbad_greek: "Avád "
 Abbadid_greek: "Avádos"
 AbdalAhad_greek: "Ampntoúl Achánt "
 AbdalAhadid_greek: "Achántos "
 AbdalAzim_greek: "Ampntoúl Azím "
 AbdalAzimid_greek: "Azímos"
 AbdalAziz_greek: "Ampntoúl Azíz "
 AbdalAzizid_greek: "Azízos"
 AbdalBasir_greek: "Ampntoúl Vasír "
 AbdalBasirid_greek: "Vasíros"
 AbdalFattah_greek: "Ampntoúl Fatách "
 AbdalFattahid_greek: "Fatáchos"
 AbdalGhani_greek: "Ampntoúl Nkáni "
 AbdalGhanid_greek: "Nkánioú"
 AbdalHakim_greek: "Ampntoúl Chákem "
 AbdalHakimid_greek: "Chákemos"
 AbdalHakim_greek: "Ampntoúl Chákem "
 AbdalHakimid_greek: "Chákemos"
 AbdalHalim_greek: "Ampntoúl Chálem "
 AbdalHalimid_greek: "Chálemos"
 AbdalHamid_greek: "Ampntoúl Chamínt "
 AbdalHamidid_greek: "Chamíntos"
 AbdalHaqq_greek: "Ampntoúl Chak "
 AbdalHaqqid_greek: "Chakos"
 AbdalHayy_greek: "Ampntoúl Chéi "
 AbdalHayyid_greek: "Chéioú"
 AbdalJabbar_greek: "Ampntoúl Giampmpár "
 AbdalJabbarid_greek: "Giampmpáros"
 AbdalJalil_greek: "Ampntoúl Zalíl "
 AbdalJalilid_greek: "Zalílos"
 AbdalKarim_greek: "Ampntoúl Karém "
 AbdalKarimid_greek: "Karémos"
 AbdalKhaliq_greek: "Ampntoúl Khalek "
 AbdalKhaliqid_greek: "Khalekos"
 AbdAllah_greek: "Ampntoulách "
 AbdAllahid_greek: "Ampntouláchos"
 AbdalLatif_greek: "Ampntoúl Latíf "
 AbdalLatifid_greek: "Latífos"
 AbdalMajid_greek: "Ampntoúl Matzínt "
 AbdalMajidid_greek: "Matzíntos"
 AbdalMalik_greek: "Ampntoúl Malík "
 AbdalMalikid_greek: "Malíkos"
 AbdalNasir_greek: "Ampntoúl Náser "
 AbdalNasirid_greek: "Náseros"
 AbdalNur_greek: "Ampntoúl Nour "
 AbdalNurid_greek: "Nouros"
 AbdalQadir_greek: "Ampntoúl Kantír "
 AbdalQadirid_greek: "Kantíros"
 AbdalQahir_greek: "Ampntoúl Qahr "
 AbdalQahirid_greek: "Qahros"
 AbdalQawi_greek: "Ampntoúl Káoui "
 AbdalQawid_greek: "Káouioú"
 AbdalRahim_greek: "Ampntoúl Rahim "
 AbdalRahimid_greek: "Rahimos"
 AbdalRahmam_greek: "Ampntoúl Rachmán "
 AbdalRahmamid_greek: "Rachmános"
 AbdalRashid_greek: "Ampntoúl Rashid "
 AbdalRashidid_greek: "Rashidos"
 AbdalRazzaq_greek: "Ampntoúl Ratzák "
 AbdalRazzaqid_greek: "Ratzákos"
 AbdalSalam_greek: "Ampntoúl Salám "
 AbdalSalamid_greek: "Salámos"
 AbdalSamad_greek: "Ampntoúl Samánt "
 AbdalSamadid_greek: "Samántos"
 AbdalWahhab_greek: "Ampntoúl Wahhab "
 AbdalWahhabid_greek: "Wahhabos"
 AbdalWahhab_greek: "Ampntoúl Wahhab "
 AbdalWahhabid_greek: "Wahhabos"
 AbdalWahid_greek: "Ampntoúl Waheed "
 AbdalWahidid_greek: "Waheedos"
 Abid
 AbuBakr
 Adam_greek: "Ádamos "
 Adamid_greek: "Ádamou "
 Alfonso_greek: "Alfónsos"
 Alfonsid_greek: "Alfónsou"
 Adi
 Adil_greek: "Antíl"
 Adilid_greek: "Antílos"
 Affan_greek: "Áfan"
 Affanid_greek: "Áfanos"
 Afrasiyab
 Aghlab_greek: "Ánklab"
 Aghlabid_greek: "Ánklabos"
 Ahmad_greek: "Achmánt"
 Ahmadid_greek: "Achmántos"
 Ala
 Ali_greek: "Alís"
 Alid_greek: "Alíos"
 Amin_greek: "Axiópistos"
 Aminid_greek: "Axiópistou"
 Amr_greek: "Omár"
 Amrid_greek: "Omáros"
 Anas_greek: "Ánas"
 Anasid_greek: "Ána"
 Aqil_greek: "Ákoul"
 Aqilid_greek: "Ákoulos"
 Ordono_greek: "Orntóno"
 Ordonid_greek: "Orntónou"
 Ermenguad_greek: "Armagand"
 Ermenguadid_greek: "Armagandos"
 As
 Asad_greek: "Ásant"
 Asadid_greek: "Ásantos"
 Ashhab_greek: "Áschab"
 Ashhabid_greek: "Áschabos"
 Asif
 Asim_greek: "Ásim"
 Asimid_greek: "Ásim"
 Aslam_greek: "Áslam"
 Aslamid_greek: "Áslamos"
 Ata 
 Awn 
 Aws 
 Job_greek: "Ióv"
 Jobid_greek: "Ióv"
 Aziz_greek: "Azíz"
 Azizid_greek: "Azízos"
 Badr_greek: "Bant"
 Badrid_greek: "Bantos"
 Bahr
 Bahram_greek: "Bachám"
 Bahramid_greek: "Bachámos"
 Bakkar_greek: "Bakkár"
 Bakkarid_greek: "Bakkáros"
 Bakr_greek: "Bakr"
 Bakrid_greek: "Bakros"
 Vasco_greek: "Váskon"
 Vascid_greek: "Váskonos"
 Balj_greek: "Baltz"
 Baljid_greek: "Baltzos"
 Barakat_greek: "Baráka"
 Barakatid_greek: "Barákatos"
 Vermundo_greek: "Vermoúdo"
 Vermundid_greek: "Vermoúdou"
 Bashir_greek: "Basír"
 Bashrid_greek: "Basíros"
 Pascal_greek: "Paskál"
 Pascalid_greek: "Paskálos"
 Bilal_greek: "Bilál"
 Bilalid_greek: "Bilálos"
 Bishr_greek: "Bisr"
